"","id","Serial.Number","List.Year","Date.Recorded","Address","Assessed.Value","Sale.Amount","Sales.Ratio","Property.Type","Non.Use.Code","Zone.Name","Zone.Classification","Location"
"7164",7164,71616,2007,2008-08-26,"1248 PEMBROKE STREET",85330,112383,0.759278539,"Two Family","14","1738-2","NX2",c(-73.1771253, 41.1911865)
"7165",7165,71619,2007,2008-08-27,"85-87 JAMES STREET",112420,115000,0.977565217,"Three Family","18","1051-20","NX2",c(-73.1963421, 41.1817833)
"7166",7166,71621,2007,2008-08-27,"183 UNION AVENUE",93650,240000,0.390208333,"Two Family",NA,"626-5B","NX3",c(-73.1638223, 41.1745813)
"7167",7167,71622,2007,2008-08-27,"2-68 ROWSLEY STREET UNIT 2",1287580,110000,11.70527273,NA,"8","226-74B","NX3",c(-73.22437, 41.1579233)
"7168",7168,71624,2007,2008-08-27,"234-238 CHARLES STREET",178580,285000,0.626596491,"Three Family",NA,"1405-8","RX1",c(-73.2001945, 41.1948431)
"7169",7169,71629,2007,2008-08-28,"669-671 CAPITOL AVENUE",159050,380000,0.418552632,"Three Family",NA,"1414-43","NX1",c(-73.2028501, 41.195256)
"7170",7170,71630,2007,2008-08-28,"96 YACHT STREET",84350,175000,0.482,"Single Family",NA,"239-16B","N2",c(-73.2186351, 41.1586396)
"7171",7171,71632,2007,2008-08-28,"1030 WAYNE STREET",206710,196000,1.054642857,"Two Family","14","2321-4","N2",c(-73.2123567, 41.210985)
"7172",7172,71635,2007,2008-08-29,"1655 OLD TOWN ROAD",115430,2e+05,0.57715,"Single Family",NA,"2651-41","N4",c(-73.2023804, 41.2291956)
"7173",7173,71637,2007,2008-08-29,"156 JENNINGS AVENUE",133340,190500,0.699947507,"Single Family",NA,"2800-26","N2",c(-73.1768536, 41.2135953)
"7174",7174,71638,2007,2008-08-29,"1083-1085 CAPITOL AVENUE",164260,257500,0.637902913,"Two Family",NA,"1433-49","NX1",c(-73.209169, 41.192176)
"7175",7175,71641,2007,2008-08-29,"90 CENTRAL AVE, 116 CENTRAL AV",297110,4e+05,0.742775,NA,"8","632-8","RX2",c(-73.166557, 41.1688403)
"7176",7176,71650,2007,2008-09-02,"33-35 ROSEDALAE STREET",101360,395000,0.256607595,"Four Family",NA,"1032-13","NX1",c(-73.2008751, 41.1793021)
"7177",7177,71651,2007,2008-09-02,"441 FLINT STREET",109420,197024,0.555363814,"Single Family","11","2254-1","N4",c(-73.2187324, 41.2024002)
"7178",7178,71653,2007,2008-09-02,"928-936 HANCOCK AVENUE",136500,300308,0.454533346,NA,"14","1215-16","NX2",c(-73.2139289, 41.172469)
"7179",7179,71656,2007,2008-09-02,"176 WESTFIELD AVENUE",124960,125000,0.99968,"Single Family","14","2232-9","NX1",c(-73.2082674, 41.20349)
"7180",7180,71662,2007,2008-09-03,"160 ASHTON STREET",144340,57700,2.501559792,"Single Family","1","2345-4A","N2",c(-73.2261824, 41.2076232)
"7181",7181,71663,2007,2008-09-03,"160 ASHTON STREET",144340,57500,2.51026087,"Single Family","1","2345-4A","N2",c(-73.2261824, 41.2076232)
"7182",7182,71679,2007,2008-09-08,"454 SUCCESS AVENUE",1379067,4000,344.76675,NA,"8","1932-1","NX3",c(-73.15607, 41.19895)
"7183",7183,71680,2007,2008-09-08,"454 SUCCESS AVENUE",1379067,17900,77.04284916,NA,"8","1932-1","NX3",c(-73.15607, 41.19895)
"7184",7184,71681,2007,2008-09-08,"383 LAUREL AVENUE, APT 209",26010,68500,0.379708029,"Condo",NA,"1139-20A","NX1",c(-73.2063755, 41.1750426)
"7185",7185,71687,2007,2008-09-10,"36 WAYNE STREET",176430,150000,1.1762,"Three Family","8","2215-2","NX1",c(-73.2078527, 41.1979175)
"7186",7186,71695,2007,2008-09-11,"1071-1073 NORTH AVENUE",115360,130000,0.887384615,"Three Family","14","1002-22B","NX2",c(-73.1983841, 41.190136)
"7187",7187,71702,2007,2008-09-12,"30 STEVENS STREET",58520,88200,0.663492063,"Single Family","14","2410-43K","NX3",c(-73.2037151, 41.2082327)
"7188",7188,71707,2007,2008-09-12,"536 GREGORY STREET",113330,170000,0.666647059,"Three Family","14","405-6","NX2",c(-73.1964865, 41.166022)
"7189",7189,71708,2007,2008-09-12,"122-124 WALNUT STREET",126270,275000,0.459163636,"Two Family",NA,"409-3","NX2",c(-73.196003, 41.165341)
"7190",7190,71714,2007,2008-09-15,"84-86 OCEAN AVENUE",196040,196600,0.997151577,"Two Family","14","221-14","NX1",c(-73.2186444, 41.159759)
"7191",7191,71716,2007,2008-09-15,"265 GLENDALE AVENUE, E4",69080,153000,0.451503268,"Single Family",NA,"2377-37A","NX3",c(-73.2167322, 41.2128182)
"7192",7192,71717,2007,2008-09-15,"1289-1289 IRANISTAN AVENUE",160410,142000,1.129647887,"Three Family","14","1133-7","NX1",c(-73.2028934, 41.1778467)
"7193",7193,71720,2007,2008-09-15,"17 WEBSTER AVENUE",74130,183500,0.403978202,"Single Family","14","627-3","RX2",c(-73.1638617, 41.1728635)
"7194",7194,71723,2007,2008-09-16,"522-526 MIDLAND STREET",176870,355000,0.498225352,"Three Family",NA,"111-10","NX1",c(-73.2266344, 41.154262)
"7195",7195,71726,2007,2008-09-16,"157-159 HELEN STREET",62450,65000,0.960769231,"Two Family","14","1753-13","NX2",c(-73.174915, 41.188535)
"7196",7196,71731,2007,2008-09-17,"122 ARTHUR STREET",138740,180000,0.770777778,"Single Family",NA,"239-7","N2",c(-73.2195191, 41.158301)
"7197",7197,71732,2007,2008-09-17,"454 SUCCESS AVENUE",1379067,73000,18.89132877,NA,"8","1932-1","NX3",c(-73.15607, 41.19895)
"7198",7198,71733,2007,2008-09-17,"202-210 PARK STREET",135240,368200,0.36730038,NA,NA,"1634-1","NX2",c(-73.182975, 41.190147)
"7199",7199,71735,2007,2008-09-17,"314 ELLSWORTH STREET",133210,220000,0.6055,"Single Family",NA,"244-2","NX2",c(-73.222144, 41.1584419)
"7200",7200,71736,2007,2008-09-17,"418 MCKINLEY AVENUE",146440,287900,0.508648836,"Single Family",NA,"1429-4","N1",c(-73.2110281, 41.1892889)
"7201",7201,71738,2007,2008-09-18,"1065-1067 NORTH AVENUE",116070,127500,0.910352941,"Three Family","14","1002-22C","NX2",c(-73.1983041, 41.190213)
"7202",7202,71740,2007,2008-09-18,"909-D WILLIAM STREET",28900,27900,1.035842294,"Condo","14","1666-12","NX3",c(-73.1851435, 41.1966604)
"7203",7203,71742,2007,2008-09-19,"881 LAFAYETTE BLVD #5J",875002,198000,4.41920202,"Condo","7","945A-11A","DX2",c(-73.1922616, 41.174777)
"7204",7204,71746,2007,2008-09-19,"200 WOODMONT AVENUE, U117",93500,179900,0.519733185,"Condo",NA,"2316-42","N4",c(-73.215829, 41.2144362)
"7205",7205,71749,2007,2008-09-22,"159 JUDSON PLACE",104020,196500,0.529363868,"Single Family",NA,"1821-36","N2",c(-73.163202, 41.1908729)
"7206",7206,71750,2007,2008-09-22,"846 CHOPSEY HILL ROAD & 311 PI",7760,7000,1.108571429,NA,"15","2741-1","N2",c(-73.200072, 41.2131472)
"7207",7207,71754,2007,2008-09-24,"45 VOIGHT AVENUE",105360,165000,0.638545455,"Single Family","1","2794A-12","N2",c(-73.190326, 41.2213875)
"7208",7208,71755,2007,2008-09-24,"1610 FAIRFIELD AVENUE #103",25060,42000,0.596666667,"Condo","14","1216-27K","RX2",c(-73.2131712, 41.1706811)
"7209",7209,71756,2007,2008-09-24,"436 GILMAN STREET",389780,849000,0.459104829,"Single Family",NA,"138-26B","N3",c(-73.2318, 41.15083)
"7210",7210,71757,2007,2008-09-24,"243 GREENFIELD DRIVE",32470,26100,1.244061303,NA,"14","2276-40","N4",c(-73.217138, 41.20075)
"7211",7211,71760,2007,2008-09-25,"454 SUCCESS AVENUE",1379067,24000,57.461125,NA,"8","1932-1","NX3",c(-73.15607, 41.19895)
"7212",7212,71762,2007,2008-09-25,"15 VALLEY AVENUE",122860,190000,0.646631579,"Single Family","14","2452-40","N4",c(-73.2012834, 41.2134536)
"7213",7213,71764,2007,2008-09-26,"306 FIFTH STREET",24750,390000,0.063461538,"Two Family","7","737-9A","I",c(-73.170034, 41.1813178)
"7214",7214,71767,2007,2008-09-26,"176-178 LEWIS STREET",128580,283555,0.453457001,"Four Family","14","1157-15","NX2",c(-73.199686, 41.1712629)
"7215",7215,71768,2007,2008-09-26,"82 LINCOLN AVENUE #1B",30330,50000,0.6066,"Condo","25","2208-17","NX1",c(-73.2026638, 41.1975484)
"7216",7216,71770,2007,2008-09-26,"240-244 SHERIDAN STREET",119510,115000,1.039217391,"Three Family","14","1812-7","NX2",c(-73.169062, 41.192366)
"7217",7217,71771,2007,2008-09-29,"218-220 FRANK STREET",122430,325000,0.376707692,"Two Family",NA,"1019-6","NX2",c(-73.19846, 41.187192)
"7218",7218,71772,2007,2008-09-29,"1195 CAPITOL AVENUE",158630,252000,0.629484127,"Single Family","25","1432-31","N1",c(-73.2108419, 41.191378)
"7219",7219,71773,2007,2008-09-28,"1610 FAIRFIELD AVENUE",25400,40500,0.627160494,"Condo","14","1216-27K","RX2",c(-73.2131109, 41.1709165)
"7220",7220,71775,2007,2008-09-29,"454 SUCCESS AVENUE",1379067,75000,18.38756,NA,"8","1932-1","NX3",c(-73.15607, 41.19895)
"7221",7221,71778,2007,2008-09-30,"189 WHEELER AVENUE",97300,148900,0.653458697,"Single Family","25","1409-34","NX2",c(-73.2015752, 41.1926368)
"7222",7222,71788,2007,2008-09-30,"311 WATERVIEW AVENUE",60620,95000,0.638105263,"Single Family",NA,"860-7K","NX3",c(-73.1758518, 41.1811116)
"7223",7223,71790,2007,2008-09-30,"15 ROXBURY LANE",85830,145000,0.591931034,"Condo",NA,"2510-16B","NX3",c(-73.2253781, 41.2124244)
"7224",7224,80001,2008,2008-10-01,"109 LENOX AVENUE",122200,195000,0.626666667,"Three Family","25","1217-38","NX2",c(-73.2148577, 41.1714067)
"7225",7225,80002,2008,2008-10-01,"78 HALE STREET",128940,235850,0.546703413,"Single Family","25","1924-9","N2",c(-73.160684, 41.1947125)
"7226",7226,80003,2008,2008-10-01,"3380 MADISON AVANUE, #21B",91970,178500,0.515238095,"Condo","25","2509D-74K","NX3",c(-73.2256471, 41.2198836)
"7227",7227,80006,2008,2008-10-01,"210-212 SMITH STREET",77140,32500,2.373538462,"Single Family","14","616-21","NX2",c(-73.167002, 41.174103)
"7228",7228,80007,2008,2008-10-01,"3200 MADISON AVENUE #24",118900,210000,0.566190476,"Single Family","25","2511-3K","NX3",c(-73.2270052, 41.2175362)
"7229",7229,80009,2008,2008-10-01,"1388-1390 EAST MAIN STREET",169610,399000,0.425087719,"Four Family","25","1717-6","NX2",c(-73.180159, 41.193638)
"7230",7230,80010,2008,2008-10-01,"30 ORCHARD STREET",56210,151000,0.372251656,"Condo","25","1731-3","NX2",c(-73.1781417, 41.1919073)
"7231",7231,80011,2008,2008-10-01,"946 SYLVAN AVENUE",115710,172000,0.672732558,"Single Family","14","2739-23","N2",c(-73.1869155, 41.2148078)
"7232",7232,90002,2009,2009-10-05,"526 EAST WASHINGTON AVE",155600,75000,2.074666667,"Three Family","14","1656-7","NX2",c(-73.1833555, 41.1857576)
"7233",7233,90007,2009,2009-10-05,"150 BEACHVIEW AVENUE #286",147390,230000,0.640826087,"Condo",NA,"106-9","RX2",c(-73.2337083, 41.1550394)
"7234",7234,90008,2009,2009-10-06,"202-203 JAMES STREET",143920,51000,2.821960784,"Two Family","14","1037-19","NX2",c(-73.1984143, 41.1821812)
"7235",7235,90009,2009,2009-10-06,"693 MYRTLE AVENUE",133910,1e+05,1.3391,"Single Family","25","953-15","NX2",c(-73.1937538, 41.172091)
"7236",7236,90018,2009,2009-10-08,"32-34 PARK TERRACE",188000,245000,0.767346939,"Three Family",NA,"403-23","NX2",c(-73.1940879, 41.1678801)
"7237",7237,90022,2009,2009-10-13,"115 DEAN PLACE",84280,52000,1.620769231,"Condo","14","2001-1","NX3",c(-73.1872061, 41.2040585)
"7238",7238,90024,2009,2009-10-13,"681-689 EAST MAIN STREET",325550,27986,11.63260202,NA,"25","814-8","MX1",c(-73.181233, 41.1839981)
"7239",7239,90025,2009,2009-10-14,"93 CHALMERS AVENUE",187980,239000,0.786527197,"Single Family",NA,"1424-9","N1",c(-73.2078656, 41.187066)
"7240",7240,90028,2009,2009-10-14,"72 CHERRY HILL ROAD #2B",85810,99000,0.866767677,"Condo","25","999999","NX3",c(-73.223953, 41.2138093)
"7241",7241,90032,2009,2009-10-15,"4425 MAIN STREET",2066830,7850000,0.263290446,NA,"7","2509-57A","MX2",c(-73.2175314, 41.2197257)
"7242",7242,90033,2009,2009-10-15,"252 TRUMBULL AVENUE",102300,100700,1.015888779,"Condo",NA,"2792B-10C","N2",c(-73.1919171, 41.2213194)
"7243",7243,90035,2009,2009-10-15,"100 WOOD AVENUE",116690,37500,3.111733333,"Single Family","14","1133-6C","RX1",c(-73.2030498, 41.1776611)
"7244",7244,90039,2009,2009-10-15,"700 QUEEN STREET",107180,99698,1.075046641,"Single Family","14","2360-10","N2",c(-73.2214298, 41.2071536)
"7245",7245,90041,2009,2009-10-19,"542 NORMAN STREET",119420,74000,1.613783784,"Two Family","25","1132-12","NX1",c(-73.2028761, 41.17635)
"7246",7246,90043,2009,2009-10-19,"534 EAST WASHINGTON AVENUE",149790,45600,3.284868421,"Three Family","14","1656-5","NX2",c(-73.1831845, 41.1857489)
"7247",7247,90044,2009,2009-10-19,"67 CLINTON AVENUE",112720,58300,1.933447684,"Single Family","14","1229-26","NX2",c(-73.20654, 41.1694993)
"7248",7248,90050,2009,2009-10-19,"57 SMITH STREET",167230,74000,2.259864865,"Three Family","25","619-4","NX3",c(-73.1695486, 41.1751893)
"7249",7249,90051,2009,2009-10-19,"116-118 WOOD AVENUE",167870,78000,2.152179487,"Three Family","14","1133-5","RX1",c(-73.203389, 41.1777019)
"7250",7250,90056,2009,2009-10-21,"494 PARK STREET",162210,190368,0.852086485,"Two Family",NA,"1612-4","NX2",c(-73.1826943, 41.1941221)
"7251",7251,90059,2009,2009-10-21,"69 BELL STREET",124770,129900,0.960508083,"Single Family","14","1812-26","NX2",c(-73.1686304, 41.192156)
"7252",7252,90060,2009,2009-10-21,"421 IRANISTN AVENUE UNIT 180",15197760,42000,361.8514286,NA,"8","429-10","NX3",c(-73.1992878, 41.1667567)
"7253",7253,90063,2009,2009-10-21,"169-171 BEECHWOOD",139130,75000,1.855066667,"Three Family","14","1107-21","NX1",c(-73.208105, 41.180517)
"7254",7254,90064,2009,2009-10-21,"700-702 CAPITOL AVENUE",164610,205000,0.80297561,"Three Family",NA,"2201-21","NX1",c(-73.2036156, 41.1954565)
"7255",7255,90065,2009,2009-10-22,"63 FREMONT AVENUE",165870,270000,0.614333333,"Three Family",NA,"1142-24","NX1",c(-73.2038612, 41.172746)
"7256",7256,90068,2009,2009-10-26,"672 LAKESIDE",168630,280000,0.60225,"Single Family",NA,"2641-26","N4",c(-73.2086906, 41.2237883)
"7257",7257,90070,2009,2009-10-26,"2076-2078 SEAVIEW AVENUE",147950,58000,2.550862069,"Three Family","14","1805-13","NX2",c(-73.169951, 41.1915921)
"7258",7258,90071,2009,2009-10-26,"171 POPLAR STREET",226430,180000,1.257944444,NA,"14","1215-42","NX2",c(-73.2141882, 41.1732235)
"7259",7259,90072,2009,2009-10-26,"2370 NORTH AVENUE UNIT 11A",76900,123600,0.622168285,"Condo",NA,"1300-21A","NX4",c(-73.2156918, 41.1787565)
"7260",7260,90074,2009,2009-10-26,"1045 KOSSUTH STREET",128120,116158,1.102980423,"Single Family","14","1662-11","NX2",c(-73.1823218, 41.1927435)
"7261",7261,90075,2009,2009-10-26,"65 MAY STREET",162760,190000,0.856631579,"Single Family",NA,"2426-16Y","N2",c(-73.2036874, 41.2157258)
"7262",7262,90076,2009,2009-10-26,"370 HIGH RIDGE DRIVE",78610,90000,0.873444444,"Single Family",NA,"2293-4A","N2",c(-73.2140318, 41.1949073)
"7263",7263,90077,2009,2009-10-26,"317-319 BENHAM AVENUE",186760,145000,1.288,"Two Family","25","1030-9","NX1",c(-73.2023292, 41.1807144)
"7264",7264,90078,2009,2009-10-26,"285 EAST PASADENA PLACE",140050,160000,0.8753125,"Single Family",NA,"2823-13","N2",c(-73.1663563, 41.2168965)
"7265",7265,90080,2009,2009-10-27,"150 BEAR PAW ROAD",140450,225000,0.624222222,"Single Family",NA,"2509B-1","N4",c(-73.2235018, 41.2223231)
"7266",7266,90081,2009,2009-10-27,"249 C PENNSYLVANIA",71470,85000,0.840823529,"Condo","25","2036-50A","NX3",c(-73.1743111, 41.2090726)
"7267",7267,90082,2009,2009-10-27,"254 TEXAS AVENUE UNIT 19",78600,102000,0.770588235,"Condo",NA,"2036-50A","NX3",c(-73.1741468, 41.2077723)
"7268",7268,90084,2009,2009-10-27,"611-613 CONNECTICUT",134170,195000,0.688051282,NA,"25","735-18","RX1",c(-73.1662822, 41.1803268)
"7269",7269,90091,2009,2009-10-28,"325 LAFAYETTE ST U5102",153830,140000,1.098785714,"Condo",NA,"525-1","RX2",c(-73.1895364, 41.1678578)
"7270",7270,90094,2009,2009-10-29,"167-171 PARROTT AVENUE",188290,195000,0.965589744,"Three Family","11","2109-17A","NX1",c(-73.1970893, 41.196522)
"7271",7271,90095,2009,2009-10-29,"672-674 ATLANTIC STREET",214100,225000,0.951555556,"Three Family",NA,"409-14","NX2",c(-73.1957042, 41.1650921)
"7272",7272,90096,2009,2009-10-29,"35 KENT STREET",169110,153000,1.105294118,"Single Family","25","2027-15A","NX1",c(-73.1790051, 41.2015158)
"7273",7273,90097,2009,2009-10-29,"1114 STATE STREET",121550,90000,1.350555556,"Condo","25","1142-5A","RX1",c(-73.2051955, 41.1719546)
"7274",7274,90099,2009,2009-10-29,"7 WILLIAM STREET",159500,2500,63.8,NA,"3","1659-4","MX1",c(-73.186767, 41.184428)
"7275",7275,90100,2009,2009-10-29,"7 WILLIAM STREET",159500,2500,63.8,NA,"3","1659-4","MX1",c(-73.186767, 41.184428)
"7276",7276,90102,2009,2009-10-29,"7 WILLIAM STREET",159500,2500,63.8,NA,"3","1659-4","MX1",c(-73.186767, 41.184428)
"7277",7277,90104,2009,2009-10-29,"500 NORTH AVENUE",24910,5000,4.982,NA,"3","2131-3","MX2",c(-73.1931409, 41.1976443)
"7278",7278,90105,2009,2009-10-29,"436-438 NORTH AVENUE",467460,5000,93.492,NA,"24","2131-3","MX2",c(-73.1931681, 41.19754)
"7279",7279,90107,2009,2009-10-29,"317 WAYNE STREET",185630,274000,0.677481752,"Three Family",NA,"2228-8","NX1",c(-73.2093083, 41.2017165)
"7280",7280,90112,2009,2009-11-02,"44 MENCEL CIRCLE",78600,110000,0.714545455,"Condo",NA,"2036-50A","NX3",c(-73.1735113, 41.2101434)
"7281",7281,90122,2009,2009-11-02,"5 NOB HILL CIRCLE",78600,88500,0.888135593,"Condo","14","2036-50A","NX3",c(-73.1741569, 41.208848)
"7282",7282,90123,2009,2009-11-02,"1500 WOOD AVENUE",130110,165000,0.788545455,"Single Family",NA,"1341-1","NX1",c(-73.2189966, 41.190864)
"7283",7283,90127,2009,2009-11-02,"2000-2002 BOSTON AVENUE",249890,2500,99.956,"Three Family","3","1836-1","RX1",c(-73.157329, 41.192523)
"7284",7284,90128,2009,2009-11-02,"100-102 EATON STREET",194710,248000,0.785120968,"Two Family",NA,"1316-4","NX1",c(-73.2104811, 41.184705)
"7285",7285,90130,2009,2009-11-02,"247 COLORADO AVENUE",198060,2250,88.02666667,NA,"3","1227-21","NX2",c(-73.2086817, 41.1715257)
"7286",7286,90135,2009,2009-11-02,"1794-1796 BARNUM AVENUE",229320,3500,65.52,NA,"3","1837-1","MX1",c(-73.1569839, 41.1890507)
"7287",7287,90138,2009,2009-11-02,"1794-1796 BARNUM AVENUE",229320,3500,65.52,NA,"3","1837-1","MX1",c(-73.1569839, 41.1890507)
"7288",7288,90144,2009,2009-11-03,"204-D BEECHWOOD AVENUE",84250,130000,0.648076923,"Condo",NA,"1102-36K","NX1",c(-73.208884, 41.1805433)
"7289",7289,90145,2009,2009-11-03,"191-195 PEARL HARBOR ST",125150,55000,2.275454545,"Single Family","14","1944-4","N2",c(-73.1617696, 41.1988145)
"7290",7290,90147,2009,2009-11-03,"675 CLEVELAND AVENUE",153350,201377,0.761507024,"Single Family","14","1328-27","N1",c(-73.2158613, 41.1882895)
"7291",7291,90148,2009,2009-11-03,"182 KENNEDY DRIVE",96470,115000,0.838869565,"Condo",NA,"2511-13B","NX3",c(-73.2215582, 41.2151211)
"7292",7292,90149,2009,2009-11-04,"591 WILMOT AVENUE UNIT 6",1571970,22000,71.45318182,NA,"8","728-1","NX3",c(-73.1636422, 41.181972)
"7293",7293,90153,2009,2009-11-04,"156-158 GRANDVIEW AVENUE",197000,149000,1.322147651,"Two Family","14","2794-7","N2",c(-73.190167, 41.220379)
"7294",7294,90154,2009,2009-11-04,"35 EVERS STREET",215360,232900,0.924688708,"Single Family",NA,"2842-5X","N2",c(-73.1759687, 41.2164074)
"7295",7295,90155,2009,2009-11-04,"90 TRUMBULL AVENUE",124360,90000,1.381777778,"Single Family","14","2795B-5A","N2",c(-73.1889624, 41.2208856)
"7296",7296,90157,2009,2009-11-04,"17 SYLVAN AVENUE",98290,94000,1.045638298,"Single Family","13","2134-33","MX2",c(-73.1900147, 41.2024793)
"7297",7297,90163,2009,2009-11-09,"30-32 CENTER STREET",257570,34900,7.380229226,"Four Family","14","1046-12","NX2",c(-73.194395, 41.184813)
"7298",7298,90168,2009,2009-11-09,"184 WESSELS AVENUE",134070,85000,1.577294118,"Two Family","14","1944-7","N2",c(-73.1617437, 41.1991763)
"7299",7299,90171,2009,2009-11-09,"99 COLEMAN STREET",145010,84000,1.726309524,"Single Family","14","1057-18","NX2",c(-73.1980431, 41.1789468)
"7300",7300,90175,2009,2009-11-10,"2999 MADISON AVENUE",123250,159000,0.775157233,"Single Family",NA,"2510-22A","N4",c(-73.2275652, 41.2149566)
"7301",7301,90176,2009,2009-11-10,"296 JACKSON AVENUE",104600,48000,2.179166667,"Single Family","14","1431-21","N2",c(-73.2095348, 41.190805)
"7302",7302,90179,2009,2009-11-12,"206 MARILYN DRIVE",125380,92000,1.362826087,"Single Family","25","2563-18","N4",c(-73.2338052, 41.2240505)
"7303",7303,90181,2009,2009-11-16,"57 AMERIDGE DRIVE",112480,160000,0.703,"Condo",NA,"2387-5A","NX3",c(-73.222063, 41.2128469)
"7304",7304,90188,2009,2009-11-10,"381-383 ELLSWORTH STREET",240190,160000,1.5011875,"Three Family","14","246-20","NX1",c(-73.223026, 41.15918)
"7305",7305,90194,2009,2009-11-12,"121 MILNE STREET",137490,67201,2.045951697,"Two Family","14","1052-27","NX2",c(-73.1971806, 41.1811952)
"7306",7306,90200,2009,2009-11-16,"71 LORETA PLACE",130790,175000,0.747371429,"Single Family","11","2387-5A","NX3",c(-73.22134, 41.2107)
"7307",7307,90204,2009,2009-11-19,"516 VINCELETTE STREET",118500,143000,0.828671329,"Condo",NA,"2511-13C","NX3",c(-73.2214394, 41.2137943)
"7308",7308,90207,2009,2009-11-16,"71 CORNELL STREET",238190,245000,0.972204082,"Single Family","14","2268-9A","N2",c(-73.2132684, 41.2043423)
"7309",7309,90209,2009,2009-11-17,"693 CENTRAL AVENUE",112210,23377,4.800017111,"Two Family","3","624-25A","NX2",c(-73.1653689, 41.1766659)
"7310",7310,90215,2009,2009-11-17,"881 LAFAYETTE BLVD UNIT 5H",229220,195000,1.175487179,"Condo",NA,"945A-11A","DX2",c(-73.1922616, 41.174777)
"7311",7311,90217,2009,2009-11-17,"229 KENSINGTON PLACE",167530,225000,0.744577778,"Single Family",NA,"2844-20","N2",c(-73.1725061, 41.2174973)
"7312",7312,90218,2009,2009-11-18,"189-191 FRENCH STREET",188220,170000,1.107176471,"Three Family","14","2105-44","NX1",c(-73.1968612, 41.197359)
"7313",7313,90222,2009,2009-11-18,"943 RESERVOIR AVENUE",106490,45000,2.366444444,"Single Family","25","2734-8","N2",c(-73.1920827, 41.2134493)
"7314",7314,90223,2009,2009-11-19,"1913 CHOPSEY HILL ROAD",167960,85000,1.976,"Single Family","25","2651-22","N4",c(-73.2015887, 41.2267402)
"7315",7315,90224,2009,2009-11-19,"239-241 LEWIS STREET",281690,131000,2.150305344,"Single Family","14","1160-60","NX2",c(-73.200434, 41.170419)
"7316",7316,90225,2009,2009-11-19,"3033-3035 MAIN STREET",200510,199900,1.003051526,"Three Family",NA,"2231-18","RX1",c(-73.2049595, 41.2033061)
"7317",7317,90229,2009,2009-11-19,"326 EAST WASHINGTON AVENUE",61850,120000,0.515416667,"Condo",NA,"1659-14K","NX2",c(-73.1869105, 41.1859023)
"7318",7318,90230,2009,2009-11-23,"631-633 GRANDFIELD AVENUE",183870,219500,0.837676538,"Three Family",NA,"1931-24","N2",c(-73.1554098, 41.1959119)
"7319",7319,90233,2009,2009-11-23,"67D MENCEL CIRCLE",71190,67600,1.053106509,"Condo","25","2036-50A","NX3",c(-73.1736759, 41.2104275)
"7320",7320,90234,2009,2009-11-23,"106 ATLANTIC STREET",89050,103000,0.864563107,"Single Family",NA,"512-6","N1",c(-73.1864343, 41.1681293)
"7321",7321,90235,2009,2009-11-23,"70 SIMS ST CO-OP SEASIDE VILLA",7568480,15000,504.5653333,NA,"8","429-10","NX3",c(-73.1999554, 41.1659985)
"7322",7322,90236,2009,2009-11-23,"68-70 JONES AVENUE",174130,65000,2.678923077,"Two Family","15","1036-1","NX2",c(-73.199978, 41.1825098)
"7323",7323,90238,2009,2009-11-23,"46 CHERRY HILL DRIVE 32B",85810,145000,0.591793103,"Condo",NA,"999999","NX3",c(-73.2241059, 41.2136011)
"7324",7324,90245,2009,2009-11-23,"106 NAUTILUS DRIVE",156440,225000,0.695288889,"Single Family",NA,"2778J-22","N4",c(-73.1967474, 41.2257214)
"7325",7325,90246,2009,2009-11-23,"76-78 SANFORD AVENUE",186510,95000,1.963263158,"Three Family","14","1049-7","NX2",c(-73.1959172, 41.1827832)
"7326",7326,90247,2009,2009-11-24,"454 SUCCESS AVENUE",3630950,64000,56.73359375,NA,"8","1932-1","NX3",c(-73.15607, 41.19895)
"7327",7327,90248,2009,2009-11-06,"668-670 CENTRAL AVENUE",190200,385000,0.494025974,"Two Family",NA,"625-5","NX2",c(-73.1648581, 41.1763703)
"7328",7328,90253,2009,2009-11-24,"454 SUCCESS AVENUE",1884810,45000,41.88466667,NA,"8","1932-1","NX3",c(-73.15607, 41.19895)
"7329",7329,90254,2009,2009-11-25,"119 LEONARD DRIVE",147570,230000,0.641608696,"Single Family",NA,"2563-4","N4",c(-73.233315, 41.2243716)
"7330",7330,90255,2009,2009-11-25,"68-70 DOVER STREET",153720,61500,2.499512195,"Two Family","14","1908-13","NX2",c(-73.168159, 41.194362)
"7331",7331,90256,2009,2009-11-25,"1252 HOWARD AVENUE",174990,81000,2.16037037,"Three Family","14","1202-9","NX2",c(-73.2167055, 41.1765858)
"7332",7332,90260,2009,2009-11-30,"254 COLEMAN STREET",189650,59000,3.21440678,"Two Family","14","1034-3","NX2",c(-73.1999646, 41.1805348)
"7333",7333,90261,2009,2009-11-30,"560-562 BEECHMONT AVENUE",178780,2e+05,0.8939,"Three Family",NA,"2422-3","NX1",c(-73.209028, 41.212522)
"7334",7334,90262,2009,2009-11-30,"700 QUEEN STREET",107180,105000,1.020761905,"Single Family","14","2360-10","N2",c(-73.2214298, 41.2071536)
"7335",7335,90264,2009,2009-11-30,"239-243 FAIRFIELD AVENUE",316080,325000,0.972553846,NA,"3","927-13","DX1",c(-73.1916429, 41.1786925)
